S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
394,M B Agro Prod.,517.6,2267.79,0.05,28.67,245.84,213.03,216.44,30.14,637.2,21.86,77.4,28.67,11.04,16.21,10.76,29.3
395,Tata Metaliks,719.05,2270.58,1.11,14.29,-73.93,876.98,36,21.18,3041.07,6.23,81.52,14.29,1.5,10.19,19.02,27.85
396,Ethos Ltd,973.95,2274.1,0,12.63,1287.91,173.56,95.14,15.25,577.28,12.23,23.36,12.63,8.01,5.17,82.87,97.35
397,Rattanindia Pow.,4.25,2282.29,0,-517.6,-12.52,638.07,-15.73,7.78,3108.88,24.91,-1599.92,-517.6,,-8.51,21.88,
398,Indostar Capital,168.1,2287.49,0,60.93,265.48,313.82,18.53,-3.78,1216.32,-16.93,-638.76,60.93,0.78,-7.46,25.34,
399,Somany Ceramics,539.35,2290.85,0.56,19.36,456.32,559.13,69.46,13.11,2323.64,9.83,103.68,19.36,3.15,5.58,28.43,22.1
400,L G Balakrishnan,731.15,2295.26,2.05,58.42,55.69,520.94,32.71,28.98,2230.48,18.48,247.26,51.32,2.03,14.84,23.46,9.28
401,Supriya Lifesci.,286.9,2309.05,0.21,25.25,226.23,101.36,31.74,42.98,552.24,41.2,169.32,25.25,3.75,25.73,27.89,13.64
402,SEL Mfg. Co,699,2316.12,0,-50.85,-26.17,117.84,47.61,-8.02,458.14,-4.1,-145.44,-52.65,8.78,-9.46,7.86,
403,Electrost.Cast.,39,2318.96,2.05,95.18,108.99,1767.13,61.1,9.8,5947.64,12.47,370.87,95.09,0.57,4.35,19.15,6.25
404,Globus Spirits,808,2327.26,0.37,37.27,-33.03,495.42,33.71,33.83,1704.06,17.55,168.87,37.27,3.01,16.78,28.83,13.78
405,Sharda Motor,784.1,2331.26,1.04,45.23,85.29,627.81,33.08,40.44,2411.39,10.3,170.04,45.23,4.07,14,23.46,13.71
406,South Ind.Bank,11.15,2333.41,0,223.1,219.27,1740.14,5.68,4.46,6668.51,57.11,560.18,223.1,0.4,0.05,16.15,4.17
407,Goodyear India,1016.45,2344.95,1.97,37.74,40.35,818.97,53.32,17.98,2720.5,6.88,113.74,37.74,3.28,7.47,26.97,20.62
408,Jayaswal Neco,24.3,2359.53,0,23.24,-81.15,1527.12,9.52,25.76,6091.32,17.64,472.31,23.24,1.29,9.35,19.15,5
409,Surya Roshni,435.2,2367.88,0.92,22.24,-40.38,1839.89,26.59,16.05,8117.23,5.18,189.86,22.24,1.53,6.76,7.37,12.47
410,Rupa & Co,298.6,2374.6,1,12.45,-54.26,214.67,-1.51,24.72,1470.83,16.65,175.12,12.45,2.69,14,15.16,13.56
411,Steel Str. Wheel,758.7,2374.93,0.49,54.61,-13.04,1081.09,12.84,22.73,4020.96,11.05,194.32,54.61,2.28,8.08,23.46,12.22
412,PG Electroplast,1116.9,2387.72,0,16.4,2633.33,535.19,289.29,13.5,1495.44,6.71,52.62,16.4,8.74,4.45,47.1,45.38
413,Natl.Fertilizer,48.85,2396.48,0,125.46,233,6454.65,145.2,1.66,19679.35,3.3,124.78,125.46,1.17,-1.03,10.76,19.21
414,Arvind Ltd,92.95,2425.04,0,101.62,1099.3,2352.12,63.93,12.07,8939.96,10.03,349.39,98.42,0.82,3.43,7.86,6.94
415,India Glycols,791.15,2449.4,0.95,27.59,-54.75,808.06,24.19,8.98,3025.7,8.69,163.76,27.59,1.37,3.76,26.53,14.96
416,SpiceJet,40.95,2464.56,0,-788.83,-8.2,2456.76,125.45,-91.83,7924.36,-11.46,-1707.76,-788.83,,-15.77,17.5,
417,Choice Intl.,250.1,2488.8,0,8.21,-29.83,74.07,21.23,17.29,299.27,21.96,44.85,8.21,5.85,6.57,25.34,55.49
418,JP Associates,10.15,2491.41,0,-381.37,-29.82,1839.76,23.95,-2.93,7389.61,-5.38,-1564.4,-376.07,29.43,-4.51,34.22,
419,Sequent Scien.,100.3,2501.82,0,-14.4,-1356.07,341.32,6.49,6.71,1433.63,6.37,28.97,-10.93,3.65,3.19,23.98,86.35
420,Sadhana Nitro,128,2503.91,0.12,1.02,-56.22,27.44,-3.65,5.51,130.68,9.53,4.91,1.02,15.63,1.89,21.17,509.96
421,Newgen Software,358.3,2507.39,1.26,27.49,-20.85,201.76,19.07,26.98,766.23,22,148.18,27.49,3.18,16.75,27.72,16.92
422,Paras Defence,643.35,2509.07,0,7.53,668.37,41.48,74.21,12.45,197.67,28.94,33.46,7.53,6.64,6.61,34.41,74.99
423,JTEKT India,103.25,2524.26,0.39,15.56,2580.16,471.73,46.97,9.84,1739.55,8.58,57.32,16.12,4,4.68,23.46,44.04
424,eMudhra,323.9,2528.76,0.39,16.47,58.06,58.49,19.29,29.48,201.4,39.15,51.4,16.47,6.93,18.2,27.72,49.2
425,Hindware Home In,349.85,2529.29,0.14,10.78,50.98,678.09,98.1,22.34,2629.42,8.48,108.83,10.78,4.81,7.48,34.12,23.24
426,Sagar Cements,193.6,2530.5,0.36,-49.19,-303.52,474.55,28.63,8.27,1867.64,9.35,-51.2,-42.25,1.65,2.01,12.06,
427,Jindal Saw,79.15,2530.85,2.53,-15.66,-110.75,3478.28,20.58,8.39,13892.1,8.79,214.48,-15.66,0.34,2.32,7.37,11.8
428,Max Ventures,173.2,2547.83,0,6.35,-73.34,27.32,-92.89,32.36,109.68,25.7,370.38,6.29,2.13,25.85,25.34,6.88
429,Orient Cement,124.95,2559.84,2,37.42,-58.17,713.94,3.33,23.03,2748.45,18.45,211.21,37.42,1.68,9.61,12.06,12.12
430,Shivalik Bimetal,445.15,2564.25,0.15,17.11,53.04,97.69,38.94,35.08,351.37,23.3,57.91,17.11,13.7,19.95,35.2,44.28
431,Gravita India,373.35,2577.53,0.8,44.65,95.22,579.7,29.87,34.94,2349.19,8.06,160.13,42.52,6.66,19.93,12.5,16.1
432,Kiri Industries,497.5,2578.75,0,53.5,-40.92,276.66,-5.51,16.43,1480.79,6.26,351.72,53.5,1,13.47,21.17,7.33
433,Dalmia Bharat,320.75,2596.47,1.25,49.27,-60.33,938.35,14.63,13.35,3138.08,12.95,218.47,49.27,1.12,7.86,13.17,11.88
434,Paushak,8527.95,2628.41,0.14,11.55,294.2,50.3,120.13,16.91,177.55,38.23,46.23,11.55,8.6,10.49,31.39,56.86
435,Indo Count Inds.,133.55,2636.27,1.5,77.38,-34.15,722.02,-4.9,22.3,2965.88,18.82,332.17,77.23,1.66,12.85,7.86,7.94
436,Strides Pharma,292.45,2640.54,0,-135.33,38.93,940.07,36.56,-4.63,3321.95,-1.73,-194.66,-71.23,1.11,-3.48,27.89,
437,Astra Microwave,305.4,2645.12,0.46,11.43,18.32,161.16,34.08,11.05,775.92,11.7,42.06,11.43,4.49,4.26,46.75,62.89
438,Kolte Patil Dev.,349.3,2654.83,0.57,26.02,-28.03,200.11,1.42,12.61,1120.28,15.23,75.67,21.23,2.77,2.26,30.9,35.09
439,Power Mech Proj.,1805.65,2656.25,0.08,39.43,25.41,746.61,19.87,17.85,2834.25,10.56,146.48,39.43,2.55,5.78,20.33,18.13
440,Volt.Transform.,2631.25,2662.07,1.33,26.68,68.97,270.14,66.9,18.77,1235.49,13.65,143.73,26.68,2.83,12.87,37.54,18.52
441,Fairchem Organic,2048.75,2667.66,0.63,27.03,21.16,225.12,61.81,37.72,729.18,15.34,72.62,27.03,11.49,23.29,26.53,36.73
442,Unichem Labs.,380.8,2681.05,1.05,-23.37,-103.39,309.61,3.93,0.89,1281.53,5.66,21.18,-23.37,1.02,0.98,27.89,126.58
443,Hemisphere Prop,94.3,2687.55,0,-1.45,23.28,1.68,,-3.38,1.68,-909.52,-14.27,-1.45,7.22,-1.36,30.9,
444,Kaveri Seed Co.,463,2700.29,0.86,240.67,19.29,731.95,7.26,15.1,964.54,24.88,247.82,240.67,2.09,9.67,27.06,10.9
445,Shanthi Gears,354.35,2718.43,0.71,16.6,110.13,108.75,51.53,23.67,405.93,18.81,56.03,16.6,9.38,12.72,23.46,48.52
446,Black Box,163.7,2748.6,0,15.41,-44.66,1371.69,14.76,26.44,5546.64,4.58,75.38,18.98,10.83,3.13,27.72,36.46
447,Venky's (India),1953.25,2751.61,0.67,49.28,-10.56,1196.44,10.3,17.96,4512.05,5.24,158.96,49.28,2.2,8.89,27.06,17.31
448,Karnataka Bank,88.5,2755.02,4.52,114.18,7.64,1629.08,6.93,5.09,6327.24,56.28,516.71,114.18,0.39,0.57,16.15,5.33
449,Sudarshan Chem.,398.95,2761.82,1.25,7.08,-72.94,554.16,16.94,12.82,2281.07,11.15,110.88,7.08,3.31,5.95,21.17,24.91
450,Tata Steel Long,613.4,2766.43,2.04,-333.36,-329.11,1913.94,16.89,9.64,7384.81,3.69,-492,-333.36,1.11,5.07,10.25,
451,Kirl. Brothers,350.5,2783.28,0.86,15.5,30.51,784.1,25.14,11.02,3215.1,6.68,97.6,15.4,2.36,3.31,23.67,28.52
452,Apcotex Industri,539.4,2796.52,0.93,30.8,38.36,283.2,16.35,34.79,1117.96,15.46,119.04,30.8,6.28,18.66,21.29,23.49
453,Hathway Cable,15.85,2805.62,0,30.24,22.61,473.22,5.66,4.09,1824.22,20.08,131.51,30.63,0.67,3.02,50.99,21.33
454,R Systems Intl.,237.2,2806.16,2.74,31.82,-31.07,374.98,37.07,38.46,1352.51,13.39,131.9,31.82,6.2,21.11,27.72,21.27
455,Dollar Industrie,497.05,2819.07,0.6,27.87,20.6,361.44,76.67,26.79,1507.17,14.5,150.64,27.87,4.17,14.89,25.44,18.71
456,Maithan Alloys,969.3,2821.78,0.62,218.96,158.59,1020.31,80.38,54.91,3447.13,37.21,995.77,289.8,1.21,34.7,9.79,2.83
457,Cartrade Tech,609.85,2847.25,0,5.57,109.73,87.89,13.3,-5.95,352.59,-12.26,-33.87,3.44,1.44,-5.82,34.12,
458,Jupiter Wagons,73.55,2849.68,0,13.41,469.42,295.4,430.53,11.81,1053,8.55,38.32,13.41,0.96,4.84,22.56,74.37
459,Shilpa Medicare,329.2,2857.52,0.33,2.34,-46.54,261.16,10.03,5.64,1169.33,16.16,54.28,0.85,1.57,2.05,23.98,52.64
460,Nava,198.25,2876.62,3.03,338.99,676.62,1025.02,83.72,16.22,3814.76,42.25,698.09,298.61,0.58,6.21,15.26,4.12
461,D B Realty,99.85,2886.25,0,8.45,109.15,6.94,-0.14,-1.24,219.43,-49.87,-330.3,8.45,1.7,-4.21,30.9,
462,Ahluwalia Contr.,431,2887.16,0.07,37.77,8.6,609.25,5.02,24.84,2721.62,9.43,158.21,37.77,2.79,7.58,30.9,18.25
463,I T D C,338.8,2905.87,0,10.53,489.41,96.27,116.48,2.06,341.21,4.69,17.4,10.28,10.16,0.9,49.29,167
464,Prudent Corp.,702.3,2907.99,0.14,19.37,24.81,128.42,42.99,52.1,458.18,26.78,80.33,19.37,12.24,23.5,25.34,36.2
465,Meghmani Organi.,114.55,2913.17,1.22,66.15,8.91,645.7,17.78,24.06,2881.2,14.66,345.8,66.15,1.82,12.5,31.39,8.42
466,Anand Rathi Wea.,699,2914.01,1.57,42.95,41,136.06,33.75,50.5,485.87,42.47,149.2,42.92,7.26,30.93,25.34,19.53
467,Ujjivan Fin.Ser.,239.7,2916.62,0,295.27,397.65,1006.2,43.66,3.6,3300.95,41.47,137.12,246.13,1.26,-1.02,25.34,21.27
468,Automotive Axles,1931.1,2917.89,0.78,30.4,445.78,500.2,96.15,16.64,1735.82,9.83,99.18,30.4,4.7,7.44,23.46,29.42
469,ION Exchange,2010.95,2949.39,0.5,27.38,17.86,382.4,21.74,34.42,1645.15,12.77,165.71,27.38,4.31,10.53,22.56,17.8
470,Dhani Services,49.1,2951.37,0,-103.91,47.13,246.38,-19.06,-7.1,1376.4,-31.22,-769.36,-101.41,0.53,-9.16,25.34,
471,Sarda Energy,819.3,2953.51,0.92,173.03,1.08,1261.05,51.53,29.52,4342.88,33.46,804.65,169.8,0.98,16.46,16.03,3.67
472,Man Infra,79.75,2960.72,1.05,43.77,18.61,351.97,129.49,33.74,1160.09,20.95,222.46,38.94,3.44,18.7,34.22,13.31
473,Vesuvius India,1463.95,2971.82,0.55,29.43,51.86,329.65,21.15,10.65,1167.91,10.47,85.6,29.43,3.18,6.06,22.6,34.72
474,Kewal Kir.Cloth.,487.15,3002.07,2.26,39.13,44.82,226.34,29.28,20.91,721.86,19.26,106.81,39.13,5.92,12.23,15.16,28.11
475,SEAMEC Ltd,1182.95,3007.65,0,22.79,79.76,125.4,71.8,10.17,402.03,37.56,93.24,22.65,4.02,8.19,11.68,32.26
476,Navneet Educat.,133.3,3015.42,1.13,138.56,331.38,693.74,111.6,11.15,1480.19,19.55,189.58,138.56,3,6.12,13.16,15.91
477,Dodla Dairy,509.8,3032.94,0,34.19,7.21,643.4,20.08,22.45,2372.96,7.02,132.08,34.19,3.61,14.16,47.48,22.96
478,HBL Power System,109.5,3035.28,0.37,19.97,198.07,319.7,38.69,13.39,1325.4,11.98,96.49,20.06,3.51,7.9,37.62,31.46
479,Nilkamal Ltd,2034.85,3036,0.74,28.63,1604.17,739.94,50.31,9.4,2977.77,8.76,110.25,28.63,2.53,4.42,28.38,27.54
480,Mold-Tek Pack.,916.8,3036.5,0.87,21.71,79.72,207.83,55.41,23.07,705.56,18.79,73.28,21.71,6.54,12.59,28.38,41.44
481,Rategain Travel,280.7,3037.52,0,8.42,710.14,119.3,59.19,2.98,410.95,9.87,17.11,8.42,4.87,1.13,27.72,177.53
482,Hawkins Cookers,5750.35,3041.94,2.61,23.07,34.68,197.74,30.56,50.43,1004.3,12.83,89.83,23.07,14.26,20.93,47.62,33.86
483,Dish TV India,16.55,3047.33,0,17.85,-63.68,608.63,-16.74,25.45,2680.15,57.06,740.2,17.85,3.28,10.39,50.99,4.12
484,DCB Bank,98.6,3068.03,1.01,97.15,187.77,949.27,12.27,6.3,3616.54,62.09,350.9,97.15,0.76,0.68,16.15,8.74
485,Sindhu Trade,19.9,3068.44,0,5.45,126.27,245.5,11.93,5.11,1033.16,11.61,-26.58,5.45,2.35,-1.31,22.24,
486,Techno Elec.Engg,280.15,3081.65,0.71,35.55,-24.51,172.96,-8.7,14.4,1057.37,20.31,252.35,35.55,1.68,8.29,19,12.21
487,Tasty Bite Eat.,12020.95,3084.58,0.01,7.8,8.79,118.58,6.39,6.38,379.22,8.32,10.96,7.8,14.2,2.45,47.48,281.44
488,Indoco Remedies,336.85,3104.08,0.45,38.47,-2.88,407.9,5.54,22.84,1561.13,19.95,153.38,38.47,3.43,11.04,27.89,20.24
489,Dhanuka Agritech,670.2,3121.68,2.09,49.11,1.05,392.73,7.96,30.03,1506.72,16.85,209.41,49.11,3.25,16.78,31.39,14.91
490,India Pesticides,271.15,3122.66,0.28,41.37,-1.55,218.46,28.29,40.54,764.3,28.05,157.74,41.37,4.89,24.23,31.39,19.8
491,MOIL,154,3133.67,3.9,102.78,66.31,375.59,28.05,20.47,1518.57,39.89,413.76,102.78,1.46,12.23,9.79,7.57
492,Ganesh Housing,377.15,3144.94,0,19.3,26.64,327.68,347.22,14.49,601.65,31.27,82.34,19.3,3.01,6.11,34.22,38.19
493,Tinplate Co.,300.6,3146.38,1.33,-35.1,-146.84,959.54,-1.77,46.79,4372.45,8.51,259.24,-35.1,2.68,21.08,12.5,12.14
494,Butterfly Gan Ap,1761.95,3150.37,0.17,25.13,-1.33,367.82,-5.07,16.62,1069.65,6.55,34.68,25.13,11.56,4.02,47.62,90.84
495,Advanced Enzyme,282.05,3153.94,0.35,17.58,-53.7,121.12,-11.6,16.29,513.49,33.03,99.19,17.58,2.9,10.21,26.53,31.8
496,Dilip Buildcon,218.45,3194.07,0.05,-55.11,-339.4,2884.37,18.3,3.16,10012.53,5.93,-400.25,-70.55,0.9,-2.82,22.54,
497,Jai Corp,179.05,3195.14,0.28,14.19,22.75,194.61,4.56,4.48,728.58,7.91,55.19,14.19,2.63,3.33,28.38,57.89
498,J & K Bank,33.75,3244.99,0,239.72,123.14,2298.9,15.51,4.01,8434.28,57.42,934.74,239.72,0.39,0.39,16.15,3.47
499,Elantas Beck,4152.3,3292.77,0.12,20.57,63.51,170.92,48.74,17.36,605.33,16.06,73.97,20.57,6.04,10.38,26.53,44.51
500,C P C L,222.7,3316.26,0.9,2358.79,4290.08,23162.55,183.63,19.85,58371.47,10,3647.49,2358.79,1.19,8.52,11.11,0.91
501,Johnson Con. Hit,1221.6,3321.53,0,-52.95,-488.03,308.24,-22.4,3.93,2588.39,1.77,-19.66,-54.51,4.84,0.97,27.46,
502,Nirlon,369.6,3330.84,7.03,14.22,-46.4,138.22,84.15,14.02,447.11,79.05,98.49,14.22,6.97,5.41,30.9,33.82
503,GE T&D India,130.2,3333.77,0,6.36,133.02,593,-7.07,-8.8,3020.85,-2.91,-119.3,6.36,3.09,-4.07,37.54,
504,Railtel Corpn.,104.25,3345.78,2.3,25.85,22.34,376.85,22.86,19.49,1618.56,21.25,213.67,25.85,2.19,7.49,39.76,15.66
505,Electronics Mart,87.5,3366.55,0,,,,,14.02,4349.32,6.71,103.9,,4.4,6.21,82.87,32.4
506,Action Const.Eq.,283.4,3374.82,0.21,45.26,125.22,497.68,54.8,22.47,1805.75,8.97,129.18,43.49,4.48,8.96,22.56,26.12
507,Ami Organics,930.3,3389.74,0.32,14.86,8.23,131.01,15.8,23.67,538.01,19.7,73.08,14.86,6.49,13.42,23.98,46.38
508,Gateway Distri,67.85,3390.08,1.84,55.78,28.88,337.88,3.56,12.12,1360.24,26.66,216.79,55.78,2.11,9.25,22.24,15.64
509,Equitas Holdings,99.4,3397.39,0,101.61,581.9,1054.81,11.71,7.34,4088.38,48.44,242.46,75.01,1,0.87,25.34,14.01
510,Thyrocare Tech.,641.95,3397.84,2.34,20.12,-58.41,119.24,-25.13,41.12,521.51,37.17,123.63,20.12,6.52,26.42,31.71,27.48
511,PTC Industries,2610,3418.49,0,2.88,-100,46.05,2.2,9.63,179.95,21.91,8.75,0,20.29,3.4,19.15,390.68
512,Greaves Cotton,147.85,3423.66,0.14,15.94,159.34,660.19,188.33,-0.97,2140.92,3.85,-9.35,15.73,4.57,-2.41,24.02,
513,Anant Raj,106.4,3448.39,0.11,33.74,137.2,251.62,191.26,2.43,724.3,16.31,90.97,33.54,1.27,1.18,30.9,37.91
514,Vakrangee,32.7,3464.56,0.15,4.82,-81.97,234.07,12.97,5.29,877.58,11.58,70.11,4.82,1.26,3.81,21.42,49.42
515,IRB InvIT Fund,59.69,3465,,102.83,-4.65,716,112.86,7.71,1391.57,82.63,298.76,102.83,0.84,2.47,50.77,11.6
516,Bengal & Assam,3077.2,3476.11,0.49,244.45,45.68,4167.29,37.92,9.68,14721.52,8.8,702.29,246.23,0.76,4.75,25.34,4.95
517,Wockhardt,241.75,3482.65,0,-75,-918.24,595,-30.78,1.17,2966,5.36,-138.1,-67,0.9,-1.39,27.89,
518,ISGEC Heavy,476.25,3501.84,0.42,18.03,30.81,1246.71,10.18,7.7,5614.55,5.91,112.57,17.83,1.65,1.73,22.56,31.11
519,Bannari Amm.Sug.,2816.4,3531.68,0.36,25.69,409.72,426.72,14.3,6.75,2050.89,10.85,100.63,25.69,2.48,3.29,13.17,35.1
520,Kirl. Ferrous,256.9,3566.46,2.14,83.85,-39.89,949.88,15.44,30.07,3742.02,15.33,350.45,83.85,2.67,14.71,19.02,10.18
521,Engineers India,63.65,3577.4,4.71,64.81,2318.28,814.8,9.21,25.37,2981.49,9.54,201.65,64.81,2.02,3.16,19,17.74
522,Best Agrolife,1525.3,3606.53,0.13,46.85,87.78,579.16,78.54,41.29,1467.94,10.44,106.66,46.85,9.54,16.06,31.39,33.81
523,Thomas Cook (I),77,3621.97,0,-6.09,91.62,976.17,238.91,-11.49,2576.39,-1.66,-149.88,-6.99,1.96,-5.38,31.56,
524,Responsive Ind,136.1,3632.68,0.07,-9.37,-230.89,227.46,29.06,2.22,1157.24,9.25,-5.97,-8.57,3.75,0.01,28.38,
525,Reliance Infra.,139.15,3659.51,0,91.59,207.16,6171.96,42.34,5.75,20247.04,5.91,-514.72,91.59,0.29,-1.25,19,
526,Ramkrishna Forg.,228.95,3668.86,0.22,63.94,27.6,762.55,31.71,15.02,2702.59,22.39,242.97,63.94,3.07,6.75,19.15,15.1
527,Jindal Poly Film,839.2,3674.56,0.6,315.12,35.87,1592.21,18.73,36.8,6128.74,23.79,1201.28,315.12,0.96,19.89,13.21,3.06
528,Kirl.Pneumatic,571.65,3690.49,0.7,27.21,139.31,295.2,30.28,17.59,1193.16,14.04,109.99,27.21,5.28,8.34,46.21,33.55
529,Neogen Chemicals,1481.95,3695.88,0.19,11.12,50.68,147.9,74.74,14.21,550.52,17.37,48.46,11.12,8.41,6.93,26.53,76.27
530,Kirloskar Oil,255.65,3697.53,1.56,82.06,153.47,1191.41,45.15,9.6,4392.56,11.42,220.11,81.54,1.78,3.7,24.02,16.8
531,Godawari Power,265,3735.04,3.68,327.2,-24.78,1666.32,43.68,55.6,5963.9,29.7,1291.69,327.09,1.13,33.31,16.03,2.89
532,H.G. Infra Engg.,574.2,3742.13,0.17,109.45,8.34,1105.9,17.47,28.46,3906.11,18.52,388.47,109.45,2.61,12.78,34.22,9.63
533,IFB Industries,929.3,3765.52,0,1.99,104.68,1044.77,89.13,-4.3,3819.82,3.08,-5.88,1.99,5.91,-2.66,47.62,
534,West Coast Paper,570.55,3768.48,1.05,208.96,480.28,1114.15,107.25,22.88,3954.21,21.61,460.43,185.34,2.24,11.03,15.15,8.18
535,NIIT,282.3,3795.87,1.06,46.23,-13.12,404.82,34.48,16.48,1478.64,19.93,221.52,44.68,2.54,9.95,16.56,17.14
536,Sansera Enginee.,718.3,3799.91,0.28,35.6,114.98,474.61,41.67,14.39,1884.6,17.72,147.19,35.6,3.62,6.83,23.46,25.82
537,Authum Invest,225.75,3834.25,0,54.36,-81.8,89,-77.82,32.3,593.41,89.3,424.49,54.36,1.23,22.42,25.34,9.03
538,Infibeam Avenues,14.35,3841.06,0.17,22.6,68.91,418.31,93.29,3.39,1495.82,10.43,92.87,22.6,1.28,2.26,27.72,41.36
539,Ircon Intl.,40.85,3842.01,6.12,144.57,62.46,2001.91,75.29,13.99,8239.54,7.73,647.85,144.57,0.82,4.6,22.54,5.93
540,Tega Inds.,580.3,3846.99,0,23.05,94.02,244.45,41.13,18.98,1023,20.09,128.07,23.05,5.23,10.72,27.06,30.04
541,Harsha Engg Intl,422.85,3849.8,0,,,,,17.89,1321.48,12.79,91.97,,6.26,8.6,23.46,41.86
542,Mahindra Logis.,535.45,3853.46,0.37,13.25,335.86,1199.9,35.86,8.26,4425.42,4.85,33.9,13.25,6.52,1.91,22.24,113.67
543,L T Foods,120.75,3862.13,0.83,95.17,23.51,1611.1,32.81,14.82,5825.42,10.62,309.25,89.69,1.93,7.3,47.48,12.49
544,TCNS Clothing Co,633.6,3904.85,0,2.44,106.77,276.39,194.6,2.78,1078.62,13.38,32.76,2.44,6.3,-0.7,25.44,119.2
545,PDS,299.6,3909.29,1.59,44.18,-31.3,2340.37,43.92,24.8,9542.37,3.77,231.54,37.02,4.47,10.21,25.44,16.88
546,Paisalo Digital,87.3,3919.96,0.11,20.66,22.98,101.93,22.06,12.22,374.81,76.16,82.58,20.66,3.85,3.37,25.34,47.47
547,Hikal,321.6,3965.35,0.5,-8.86,-117.53,378.79,-17.07,15.19,1864.73,14.35,101.11,-8.86,3.71,7.77,23.98,39.22
548,Guj Pipavav Port,82.8,4002.88,4.83,57.53,70.4,208.13,30.39,15.02,792.05,55.28,223.86,66.83,1.97,7.91,17.88,17.88
549,Tata Coffee,214.4,4004.36,0.93,146.93,15.66,718.26,30.95,13.23,2662.82,15.97,172.57,41.01,2.34,6.21,10.79,23.2
550,Health.Global,287.95,4004.83,0,2.48,125.91,408.05,26.28,5.36,1482.7,17.33,-4.73,2.48,4.6,-0.29,31.71,
551,Greenlam Industr,316.05,4013.6,0.38,24.57,41.7,470.61,40.01,13.98,1837.88,10.84,99.56,24.57,5.83,7.22,27.06,40.31
552,Sharda Cropchem,445.6,4020.23,1.35,12.08,-62.27,721.5,12.25,26.15,3860.34,15.45,313.89,12.08,2.08,10.56,31.39,12.81
553,Barbeque-Nation,1032.6,4021.1,0,16.03,135.61,314.87,208.76,3.59,1073.45,20.68,32.39,15.18,10.41,-2.38,49.29,124.13
554,Mirza Internatio,336.1,4043.48,0,40,254.92,481.55,92.03,21.88,1902.33,14.2,139.17,40,5.36,8.53,53.85,29.05
555,Indbull.RealEst.,74.85,4054.44,0,-51.76,-1187.39,151.54,-70.84,1.85,1076.61,-7.3,-193.08,-51.76,1.14,-1.7,30.9,
556,ICRA,4202.45,4055.88,0.67,37.21,52.66,98.6,19.25,18.27,371.38,37.82,122.27,36.73,4.64,11.75,30.29,33.17
557,NESCO,577.1,4066.24,0.52,53.73,27.02,103.06,41.8,14.71,367.78,65.24,200.66,53.73,2.4,10.05,27.06,20.26
558,Elecon Engg.Co,363.15,4074.54,0.28,42.31,55.15,327.72,11.39,17.37,1240.51,20.48,155.53,42.31,3.88,7.79,22.56,26.2
559,Schneider Elect.,170.7,4081.44,0,26.53,186.44,371.48,28.91,14.99,1613.63,7.25,60.21,13.9,,2.61,37.54,67.79
560,CSB Bank,235.35,4082.99,0,120.55,1.67,555.18,11.97,6.3,2138.32,63.99,513.99,120.55,1.54,1.88,16.15,7.94
561,JK Tyre & Indust,166.5,4099.74,0.9,35.13,-3.75,3643.03,39.66,9.32,13017.55,8.29,198.35,47.21,1.44,1.73,26.97,20.67
562,Inox Wind,148.25,4110.61,0,-129.79,-147.08,210.62,24.36,-11.24,665.89,-51.32,-504.3,-129.27,3.61,-8.29,37.54,
563,Usha Martin,135.2,4120.11,1.48,82.23,41.5,758.69,23.3,17.25,2831.46,14.47,284.18,82.11,2.43,9.96,16.03,14.5
564,Safari Inds.,1740.2,4125.89,0.05,27.44,980.31,293.03,143.85,16.7,878.3,10.19,52.77,27.44,16.72,7.21,73.04,78.19
565,Star Cement,102.65,4148.91,0,67.56,-0.63,666.06,30.31,12.02,2376.76,15.85,246.33,67.56,1.91,9.3,24.61,16.84
566,HEG,1077.6,4159.05,3.71,159,180.08,721.95,74.51,12.82,2509.87,25.45,533.27,159,1.06,8.52,13.19,7.8
567,Heidelberg Cem.,184.7,4185.54,4.87,7.01,-88.23,506.05,-12.22,20.82,2260.49,14.58,182.67,7.01,2.95,8.88,24.61,22.91
568,Share India Sec.,1319.25,4209.28,0.45,59.18,72.41,230.69,54.23,57.38,937.6,35.89,231.01,58.93,9.42,17.47,25.34,18.22
569,Astec Lifescienc,2149.75,4214.49,0.07,11.41,-12.17,184.27,43.22,22.21,732.17,21.15,88.27,11.4,10.63,11.42,31.39,47.75
570,Fineotex Chem,382.2,4232.8,0.1,20.3,108.76,135.77,114.55,31.12,440.72,19.89,65.47,19.77,16.15,18.76,26.53,64.65
571,Himadri Special,101,4235.33,0.2,38.56,166.85,1046.64,93.91,4.57,3298.21,5.73,80.27,38.56,2.27,1.83,26.53,52.76
572,Tarsons Products,801.3,4263.42,0,20.31,-18.24,68.63,-0.75,35.26,300.28,48.98,96.14,20.31,8.7,23.95,27.06,44.35
573,Spandana Sphoort,600.95,4265.38,0,55.19,195.18,297.69,-24.76,8.56,1180.93,24.41,-91.11,55.15,1.49,0.89,25.34,
574,Aarti Drugs,460.8,4267.01,0.22,36.58,-9.92,624.83,22.35,20.73,2410.72,12.43,171.78,36.58,4.12,10.62,23.98,24.84
