S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
145,SML ISUZU,783.2,1133.29,0,2.34,107,500.19,400.34,-16.15,1324.75,-0.5,-63.98,2.34,7.02,-12.38,320.2,
146,Parag Milk Foods,106.6,1144.63,0,10.25,-41.43,690.93,57.58,-39.32,2324.23,-19.76,-539.75,10.25,1.84,-34.52,47.48,
147,Quick Heal Tech,197.5,1146.94,2.28,22.16,-36.01,100.94,-2.75,15.12,345.35,24.55,64.71,22.16,1.84,10.35,27.72,17.72
148,Asian Star Co.,721.5,1155.12,0.21,21.62,4.57,1265.01,47.31,6.8,4828.86,3.02,97.51,21.51,0.88,4.4,36.83,11.85
149,Bombay Super Hyb,110.15,1155.88,0,0.86,43.33,21.02,22.35,18.71,215.64,7.51,12.28,0.86,24.23,12.34,27.06,94.13
150,Shalimar Paints,160.15,1156.55,0,-9.63,43.19,109.9,68.64,-7.19,402.83,-4.24,-46.16,-9.63,3.11,-9.11,62.59,
151,Dolat Algotech,65.9,1159.84,0.38,38.25,-15.92,48.98,-30.08,40.95,210.69,75.1,160.18,38.25,2.2,26.65,25.34,7.24
152,Nitin Spinners,207,1163.75,1.93,65.58,9.28,708.83,28.03,36.63,2847.5,22.19,334.59,65.58,1.33,18.79,7.86,3.48
153,Sr.Rayala.Hypo,682,1170.64,0.51,35.94,97.58,569.8,98.66,26.5,1550.26,11.51,120.53,35.94,2.05,15.73,26.53,9.71
154,OnMobile Global,110.95,1175.01,1.35,4.12,-62.65,135.13,4.94,6.48,525.9,7.33,20.98,4.12,1.79,3.07,39.76,56.01
155,TCPL Packaging,1293.85,1177.4,0.77,22.58,275.71,335.45,48.36,14.76,1185.38,15.16,65.82,22.58,3.42,5.24,13.21,17.89
156,Pix Transmission,865.85,1180.15,0.69,17.68,7.22,120.31,21.01,24.02,476.5,23.72,70.04,17.68,3.23,13.85,21.29,16.85
157,TajGVK Hotels,188.7,1183.18,0,19.1,247.38,85.5,244.2,6.36,287.74,29.48,34.16,19.1,3.21,0.3,49.29,34.64
158,Sasken Technol.,788.5,1186.76,3.17,35.92,-3.67,120.01,10.46,25.42,436.78,27.49,108.11,35.92,1.74,17.48,27.72,10.98
159,Shivalik Rasayan,820.6,1188.99,0.06,8.46,-5.06,57.83,14.76,15.28,222.19,20.73,25.23,6.38,4.28,8.05,31.39,47.13
160,Goodluck India,459,1193.69,0.76,20.23,49.41,822.31,43.95,16,2864.28,6.78,81.72,20.23,2.56,6.38,16.03,14.61
161,Monarch Networth,384.45,1193.7,0.26,12.43,-8.13,32.56,2.36,51.21,139.73,40.9,53.14,12.43,7.34,10.27,25.34,22.46
162,Raj Rayon Inds.,21.75,1199.04,0,-3.45,60.44,0,,-43.69,0.06,-4566.67,-25.09,-3.45,0.14,-23.56,15.22,
163,Ador Welding,887.95,1207.61,1.41,10.46,68,157.88,23.46,20.02,691.48,9.17,42.84,11.34,4.28,10.04,23.99,28.19
164,Sangam India,279.7,1214.5,0.72,52.5,297.13,713.28,73.82,18.68,2740.68,12.82,188.63,52.5,1.76,9.19,5.5,6.44
165,Everest Kanto,108.45,1216.89,0.65,38.7,-32.44,380.53,13.58,40.86,1744.34,20.86,238.66,38.7,1.35,22.07,13.21,5.1
166,Arman Financial,1433.15,1217.08,0,15.71,340.06,78.38,58.92,12.79,262.81,59.67,43.86,15.71,5.72,2.91,25.34,27.75
167,Elpro Internatio,71.85,1217.71,0,18.68,126.97,24.22,47.41,13.99,90.78,39.84,1097.11,18.68,0.97,8.6,34.22,1.11
